"TGS 2600;TGS 2602;TGS 2610;label"
"151.45;54.17;454.85;alkohol"
"197.14;58.77;688.5;alkohol"
"311.7;65.46;784.49;alkohol"
"399.02;67.36;779.61;alkohol"
"508.54;71.27;1062.17;alkohol"
"651.18;77.4;1273.77;alkohol"
"917.65;86.83;1514.93;alkohol"
"1282.17;97;1644.23;alkohol"
"1546.08;102.79;1762.22;alkohol"
"1812.28;107.07;1959.17;alkohol"
"2216.35;115.09;2152.23;alkohol"
"2498.24;120.66;2200.1;alkohol"
"2595.57;122.55;2249.31;alkohol"
"2556.07;121.6;2317.1;alkohol"
"2595.57;126.41;2423.7;alkohol"
"2827.44;123.51;2615.61;alkohol"
"2965.25;124.47;2718.87;alkohol"
"3137.3;124.47;2718.87;alkohol"
"3268.26;127.39;2805.29;alkohol"
"3435.08;129.37;2941.69;alkohol"
"3493.18;126.41;2965.25;alkohol"
"3739.11;131.36;3086.84;alkohol"
"3739.11;133.38;3037.44;alkohol"
"3675.52;133.38;2965.25;alkohol"
"3804.18;135.42;2989.06;alkohol"
"3739.11;133.38;3062.01;alkohol"
"3837.28;136.45;3162.93;alkohol"
"3904.66;136.45;3241.5;alkohol"
"4080.19;139.56;3295.31;alkohol"
"4008.73;141.67;3435.08;alkohol"
"4008.73;138.52;3552.6;alkohol"
"4080.19;139.56;3613.36;alkohol"
"4080.19;142.74;3613.36;alkohol"
"4116.56;143.8;3644.27;alkohol"
"4116.56;144.88;3675.52;alkohol"
"4190.64;145.96;3739.11;alkohol"
"4266.53;145.96;3707.13;alkohol"
"4383.9;143.8;3707.13;alkohol"
"4266.53;141.67;3771.46;alkohol"
"4344.29;140.62;3675.52;alkohol"
"4344.29;140.62;3804.18;alkohol"
"4190.64;139.56;3771.46;alkohol"
"4080.19;136.45;3552.6;alkohol"
"3870.77;134.39;3435.08;alkohol"
"4153.38;136.45;3707.13;alkohol"
"4266.53;136.45;3804.18;alkohol"
"4266.53;138.52;3707.13;alkohol"
"4153.38;137.48;3675.52;alkohol"
"4116.56;134.39;3675.52;alkohol"
"4153.38;135.42;3707.13;alkohol"
"4080.19;133.38;3739.11;alkohol"
"4116.56;132.37;3707.13;alkohol"
"4116.56;133.38;3870.77;alkohol"
"4116.56;133.38;3771.46;alkohol"
"3973.62;131.36;3771.46;alkohol"
"3973.62;129.37;3739.11;alkohol"
"4008.73;131.36;3771.46;alkohol"
"4080.19;129.37;3707.13;alkohol"
"4044.24;129.37;3739.11;alkohol"
"4116.56;132.37;3771.46;alkohol"
"3973.62;130.36;3804.18;alkohol"
"3938.94;131.36;3837.28;alkohol"
"3973.62;131.36;3707.13;alkohol"
"3904.66;130.36;3739.11;alkohol"
"3837.28;125.44;3613.36;alkohol"
"3771.46;125.44;3582.81;alkohol"
"3613.36;120.66;3582.81;alkohol"
"3582.81;118.78;3644.27;alkohol"
"3522.72;118.78;3552.6;alkohol"
"3522.72;117.85;3582.81;alkohol"
"3493.18;117.85;3582.81;alkohol"
"3644.27;119.71;3552.6;alkohol"
"3837.28;122.55;3707.13;alkohol"
"3771.46;123.51;3675.52;alkohol"
"3771.46;124.47;3707.13;alkohol"
"3675.52;121.6;3644.27;alkohol"
"3707.13;121.6;3522.72;alkohol"
"3644.27;122.55;3582.81;alkohol"
"3552.6;122.55;3582.81;alkohol"
"3522.72;121.6;3463.97;alkohol"
"3463.97;120.66;3463.97;alkohol"
"3435.08;121.6;3582.81;alkohol"
"3435.08;119.71;3644.27;alkohol"
"3582.81;119.71;3463.97;alkohol"
"3522.72;118.78;3435.08;alkohol"
"3435.08;115.09;3268.26;alkohol"
"3322.65;112.37;3241.5;alkohol"
"3350.3;113.27;3268.26;alkohol"
"3350.3;108.82;3295.31;alkohol"
"3322.65;110.59;3378.25;alkohol"
"3268.26;110.59;3406.51;alkohol"
"3188.84;109.7;3378.25;alkohol"
"3188.84;107.95;3350.3;alkohol"
"3162.93;107.95;3322.65;alkohol"
"3013.12;107.07;3111.93;alkohol"
"2805.29;105.35;3037.44;alkohol"
"2761.65;101.95;3062.01;alkohol"
"2740.15;100.28;3086.84;alkohol"
"2615.61;101.95;3062.01;alkohol"
"2635.86;100.28;2918.37;alkohol"
"2575.72;100.28;2895.28;alkohol"
"2442.07;100.28;2989.06;alkohol"
"2387.49;102.79;3037.44;alkohol"
"2479.33;102.79;3162.93;alkohol"
"2697.81;106.21;3322.65;alkohol"
"2805.29;111.48;3522.72;alkohol"
"3062.01;116.92;3582.81;alkohol"
"3188.84;117.85;3644.27;alkohol"
"3162.93;117.85;3644.27;alkohol"
"3322.65;119.71;3675.52;alkohol"
"3493.18;123.51;3739.11;alkohol"
"3582.81;125.44;3771.46;alkohol"
"3582.81;121.6;3675.52;alkohol"
"3406.51;121.6;3613.36;alkohol"
"3435.08;120.66;3613.36;alkohol"
"3463.97;122.55;3552.6;alkohol"
"149.24;51.96;199.88;normal"
"148.14;50.87;201.26;normal"
"149.24;51.42;199.88;normal"
"148.14;50.87;204.05;normal"
"149.24;51.96;199.88;normal"
"149.24;50.87;202.65;normal"
"148.14;51.42;202.65;normal"
"147.05;51.42;205.46;normal"
"148.14;50.87;206.87;normal"
"147.05;51.42;208.29;normal"
"148.14;50.34;206.87;normal"
"147.05;51.42;204.05;normal"
"147.05;51.96;205.46;normal"
"147.05;51.42;204.05;normal"
"147.05;51.96;206.87;normal"
"147.05;50.87;202.65;normal"
"147.05;51.96;206.87;normal"
"149.24;51.42;206.87;normal"
"145.96;51.96;209.72;normal"
"149.24;50.87;211.16;normal"
"149.24;51.96;212.6;normal"
"145.96;51.42;214.06;normal"
"148.14;51.42;209.72;normal"
"144.88;50.87;211.16;normal"
"148.14;51.42;209.72;normal"
"145.96;50.87;206.87;normal"
"147.05;50.87;208.29;normal"
"145.96;51.96;208.29;normal"
"148.14;50.87;204.05;normal"
"145.96;50.87;205.46;normal"
"148.14;52.51;206.87;normal"
"149.24;52.51;206.87;normal"
"147.05;51.96;208.29;normal"
"148.14;51.42;206.87;normal"
"148.14;52.51;209.72;normal"
"149.24;51.42;208.29;normal"
"150.34;50.87;206.87;normal"
"151.45;51.42;208.29;normal"
"149.24;51.96;206.87;normal"
"149.24;53.06;209.72;normal"
"149.24;51.96;205.46;normal"
"149.24;51.42;208.29;normal"
"149.24;51.96;205.46;normal"
"151.45;50.87;204.05;normal"
"148.14;51.42;206.87;normal"
"150.34;52.51;205.46;normal"
"149.24;51.42;204.05;normal"
"148.14;52.51;205.46;normal"
"148.14;51.42;202.65;normal"
"150.34;51.42;201.26;normal"
"148.14;50.87;202.65;normal"
"148.14;52.51;202.65;normal"
"151.45;51.42;204.05;normal"
"149.24;53.06;201.26;normal"
"149.24;51.96;204.05;normal"
"151.45;51.42;202.65;normal"
"150.34;51.96;202.65;normal"
"150.34;50.87;201.26;normal"
"150.34;53.06;201.26;normal"
"148.14;52.51;201.26;normal"
"147.05;51.96;201.26;normal"
"149.24;51.42;201.26;normal"
"151.45;51.42;204.05;normal"
"148.14;52.51;201.26;normal"
"148.14;51.96;204.05;normal"
"149.24;52.51;201.26;normal"
"157.10;76.70;401.52;pertalite"
"176.24;106.21;586.23;pertalite"
"204.05;139.56;794.34;pertalite"
"244.86;177.49;1048.65;pertalite"
"294.15;208.29;1282.17;pertalite"
"343.01;218.47;1369.86;pertalite"
"374.74;224.46;1416.32;pertalite"
"409.13;235.26;1445.09;pertalite"
"443.68;240.02;1425.84;pertalite"
"475.05;251.45;1416.32;pertalite"
"511.70;256.48;1406.89;pertalite"
"531.04;251.45;1369.86;pertalite"
"547.71;248.14;1325.18;pertalite"
"582.62;251.45;1360.79;pertalite"
"615.93;256.48;1379.01;pertalite"
"635.27;272.08;1454.83;pertalite"
"675.82;284.78;1464.65;pertalite"
"723.53;301.84;1494.57;pertalite"
"779.61;315.72;1474.54;pertalite"
"819.54;336.53;1474.54;pertalite"
"872.56;338.68;1416.32;pertalite"
"941.14;377.10;1578.00;pertalite"
"1009.22;391.59;1655.59;pertalite"
"1069.00;409.13;1725.78;pertalite"
"1125.49;406.58;1713.84;pertalite"
"1147.54;416.87;1749.97;pertalite"
"1162.50;411.70;1678.60;pertalite"
"1170.07;424.75;1713.84;pertalite"
"1185.38;427.40;1678.60;pertalite"
"1170.07;406.58;1578.00;pertalite"
"1154.99;386.70;1484.52;pertalite"
"1103.92;367.72;1360.79;pertalite"
"1082.82;356.30;1388.23;pertalite"
"1096.84;358.55;1578.00;pertalite"
"1118.25;356.30;1667.05;pertalite"
"1118.25;374.74;1825.06;pertalite"
"1132.78;389.14;1973.24;pertalite"
"1170.07;411.70;2030.78;pertalite"
"1185.38;422.11;2105.65;pertalite"
"1216.68;419.48;2030.78;pertalite"
"1232.69;438.19;2090.41;pertalite"
"1273.77;457.68;2060.32;pertalite"
"1316.44;463.40;2045.48;pertalite"
"1325.18;463.40;2030.78;pertalite"
"1316.44;449.23;1945.23;pertalite"
"1333.98;454.85;1959.17;pertalite"
"1351.78;449.23;1917.71;pertalite"
"1342.84;430.08;1812.28;pertalite"
"1325.18;411.70;1678.60;pertalite"
"557.96;147.05;2136.56;pertamax"
"597.19;149.24;2090.41;pertamax"
"623.60;147.05;2001.75;pertamax"
"655.22;150.34;2001.75;pertamax"
"667.50;151.45;2030.78;pertamax"
"701.43;153.69;2105.65;pertamax"
"705.79;148.14;2030.78;pertamax"
"714.60;145.96;1959.17;pertamax"
"728.04;145.96;1987.43;pertamax"
"751.02;154.82;2030.78;pertamax"
"755.71;153.69;1973.24;pertamax"
"746.36;150.34;1917.71;pertamax"
"732.57;145.96;1787.04;pertamax"
"714.60;141.67;1725.78;pertamax"
"705.79;152.57;1890.66;pertamax"
"728.04;178.75;2334.45;pertamax"
"741.74;193.08;2442.07;pertamax"
"769.95;193.08;2442.07;pertamax"
"809.36;209.72;2595.57;pertamax"
"878.06;219.95;2697.81;pertamax"
"965.29;235.26;2656.30;pertamax"
"1041.96;241.63;2635.86;pertamax"
"1096.84;238.43;2615.61;pertamax"
"1140.13;236.84;2656.30;pertamax"
"1185.38;240.02;2718.87;pertamax"
"1193.12;232.13;2676.95;pertamax"
"1185.38;227.50;2635.86;pertamax"
"1185.38;224.46;2536.60;pertamax"
"1162.50;215.52;2387.49;pertamax"
